Quarter,2YO_mean,2YO_median,2YO_min,2YO_max,2YO_mean_no_extremes,2YO_median_no_extremes,2YO_no_outliers_mean,2YO_no_outliers_median,2YO_no_outliers_min,2YO_no_outliers_max,2YO_no_outliers_mean_no_extremes,2YO_no_outliers_median_no_extremes,3YO_mean,3YO_median,3YO_min,3YO_max,3YO_mean_no_extremes,3YO_median_no_extremes,3YO_no_outliers_mean,3YO_no_outliers_median,3YO_no_outliers_min,3YO_no_outliers_max,3YO_no_outliers_mean_no_extremes,3YO_no_outliers_median_no_extremes,4YO_mean,4YO_median,4YO_min,4YO_max,4YO_mean_no_extremes,4YO_median_no_extremes,4YO_no_outliers_mean,4YO_no_outliers_median,4YO_no_outliers_min,4YO_no_outliers_max,4YO_no_outliers_mean_no_extremes,4YO_no_outliers_median_no_extremes,5YO_mean,5YO_median,5YO_min,5YO_max,5YO_mean_no_extremes,5YO_median_no_extremes,5YO_no_outliers_mean,5YO_no_outliers_median,5YO_no_outliers_min,5YO_no_outliers_max,5YO_no_outliers_mean_no_extremes,5YO_no_outliers_median_no_extremes
2022Q2,,,,,,,,,,,,,160481.4814814815,162000.0,148000.0,167000.0,160428.57142857142,160000.0,148000.0,148000.0,148000.0,148000.0,,,139518.5185185185,140000.0,124000.0,144000.0,139960.0,140000.0,,,,,,,114407.4074074074,115000.0,105000.0,118000.0,114347.82608695653,115000.0,,,,,,
2022Q3,,,,,,,,,,,,,146920.0,144500.0,135000.0,167000.0,147090.9090909091,145500.0,142147.0588235294,140000.0,135000.0,152000.0,142793.10344827586,143000.0,128220.0,128000.0,112000.0,145000.0,128208.33333333333,128000.0,,,,,,,105860.0,106500.0,85000.0,116000.0,105422.22222222222,106000.0,85000.0,85000.0,85000.0,85000.0,,
2022Q4,,,,,,,,,,,,,130454.54545454546,134000.0,115000.0,142000.0,131473.68421052632,134000.0,130454.54545454546,134000.0,115000.0,142000.0,131473.68421052632,134000.0,113409.09090909091,115000.0,97000.0,125000.0,113052.63157894737,115000.0,103400.0,104000.0,97000.0,108000.0,104000.0,104000.0,94954.54545454546,97500.0,76000.0,107000.0,95300.0,97500.0,82714.28571428571,80000.0,76000.0,90000.0,82600.0,80000.0
2023Q1,,,,,,,,,,,,,122297.2972972973,120000.0,100000.0,135000.0,122571.42857142857,120000.0,122297.2972972973,120000.0,100000.0,135000.0,122571.42857142857,120000.0,100918.91891891892,102000.0,87000.0,118000.0,101235.29411764706,102500.0,100171.42857142857,102000.0,87000.0,108000.0,100750.0,102000.0,80702.7027027027,82000.0,70000.0,101000.0,81774.19354838709,82000.0,78281.25,79000.0,70000.0,90000.0,79423.07692307692,81000.0
2023Q2,,,,,,,,,,,,,112750.0,113000.0,105000.0,120000.0,113384.61538461539,113000.0,112750.0,113000.0,105000.0,120000.0,113384.61538461539,113000.0,87562.5,86500.0,83000.0,98000.0,87461.53846153847,87000.0,87562.5,86500.0,83000.0,98000.0,87461.53846153847,87000.0,70312.5,68000.0,64000.0,84000.0,69785.71428571429,68000.0,70312.5,68000.0,64000.0,84000.0,69785.71428571429,68000.0
2023Q3,,,,,,,,,,,,,103259.25925925926,102000.0,84000.0,116000.0,103520.0,102000.0,103259.25925925926,102000.0,84000.0,116000.0,103520.0,102000.0,79148.14814814815,80000.0,70000.0,87000.0,79583.33333333333,80000.0,79148.14814814815,80000.0,70000.0,87000.0,79583.33333333333,80000.0,62851.851851851854,61000.0,55000.0,78000.0,62875.0,61500.0,62851.851851851854,61000.0,55000.0,78000.0,62875.0,61500.0
2023Q4,,,,,,,,,,,,,93916.66666666667,90000.0,79000.0,108000.0,92444.44444444444,90000.0,93916.66666666667,90000.0,79000.0,108000.0,92444.44444444444,90000.0,70250.0,69500.0,60000.0,78000.0,69666.66666666667,69000.0,70250.0,69500.0,60000.0,78000.0,69666.66666666667,69000.0,55916.666666666664,56500.0,44000.0,72000.0,55500.0,56500.0,55916.666666666664,56500.0,44000.0,72000.0,55500.0,56500.0
2024Q1,,,,,,,,,,,,,109055.55555555556,115000.0,80000.0,122000.0,110062.5,115000.0,109055.55555555556,115000.0,80000.0,122000.0,110062.5,115000.0,73666.66666666667,75000.0,58000.0,80000.0,73428.57142857143,74000.0,73666.66666666667,75000.0,58000.0,80000.0,73428.57142857143,74000.0,52444.444444444445,54000.0,40000.0,75000.0,54538.46153846154,55000.0,52444.444444444445,54000.0,40000.0,75000.0,54538.46153846154,55000.0
2024Q2,,,,,,,,,,,,,96666.66666666667,95000.0,94000.0,104000.0,96000.0,95000.0,96666.66666666667,95000.0,94000.0,104000.0,96000.0,95000.0,69666.66666666667,71500.0,59000.0,74000.0,71250.0,71500.0,69666.66666666667,71500.0,59000.0,74000.0,71250.0,71500.0,50666.666666666664,52000.0,43000.0,54000.0,51750.0,52000.0,50666.666666666664,52000.0,43000.0,54000.0,51750.0,52000.0
2024Q3,,,,,,,,,,,,,93666.66666666667,93500.0,93000.0,95000.0,94000.0,94000.0,93666.66666666667,93500.0,93000.0,95000.0,94000.0,94000.0,66333.33333333333,70000.0,54000.0,74000.0,67500.0,70000.0,66333.33333333333,70000.0,54000.0,74000.0,67500.0,70000.0,47500.0,49500.0,40000.0,54000.0,47750.0,49500.0,47500.0,49500.0,40000.0,54000.0,47750.0,49500.0
2024Q4,,,,,,,,,,,,,88000.0,88000.0,84000.0,92000.0,,,88000.0,88000.0,84000.0,92000.0,,,54500.0,54500.0,51000.0,58000.0,,,54500.0,54500.0,51000.0,58000.0,,,43500.0,43500.0,43000.0,44000.0,,,43500.0,43500.0,43000.0,44000.0,,
2025Q1,,,,,,,,,,,,,95000.0,95000.0,95000.0,95000.0,,,95000.0,95000.0,95000.0,95000.0,,,79000.0,79000.0,79000.0,79000.0,,,79000.0,79000.0,79000.0,79000.0,,,58000.0,58000.0,58000.0,58000.0,,,58000.0,58000.0,58000.0,58000.0,,
