Month,2YO_mean,2YO_median,2YO_min,2YO_max,2YO_mean_no_extremes,2YO_median_no_extremes,2YO_mean_no_outliers,2YO_median_no_outliers,3YO_mean,3YO_median,3YO_min,3YO_max,3YO_mean_no_extremes,3YO_median_no_extremes,3YO_mean_no_outliers,3YO_median_no_outliers,4YO_mean,4YO_median,4YO_min,4YO_max,4YO_mean_no_extremes,4YO_median_no_extremes,4YO_mean_no_outliers,4YO_median_no_outliers,5YO_mean,5YO_median,5YO_min,5YO_max,5YO_mean_no_extremes,5YO_median_no_extremes,5YO_mean_no_outliers,5YO_median_no_outliers
2016-09,83940.79077368526,84412.55284516644,80577.53385461115,87006.1326985729,83983.35005856906,84412.55284516644,83940.79077368526,84412.55284516644,67253.68933761457,67149.08908550948,67084.4166305302,67863.04330438236,67198.67918015414,67149.08908550948,67185.98334130703,67142.41136083784,74609.12417459057,81845.17989620207,55371.28153454054,87006.1326985729,75293.20758619733,81845.17989620207,74609.12417459056,81845.17989620207,44640.55318961847,44628.825515708035,43716.90883781794,45548.014786339336,44642.576034003425,44628.825515708035,44640.55318961847,44628.825515708035
2016-10,80486.70453368827,80221.3506320328,79970.93438541287,81444.8468386902,80376.11149450665,80221.3506320328,80486.70453368827,80221.3506320328,67588.73370794229,67611.86162552676,67134.06964059101,67990.304105599,67595.37041665411,67611.86162552676,67588.7337079423,67611.86162552676,70439.87155656204,79987.34342721417,55635.16184773196,81532.25795570078,70852.35192430552,79987.34342721417,70439.87155656204,79987.34342721417,42062.204222030974,41970.512177860655,41080.39024476295,43236.59279640968,42040.80704457423,41970.512177860655,42062.204222030974,41970.512177860655
2016-11,81796.28303120406,81556.90394733912,81554.43934817528,82628.41777428154,81648.71026619189,81556.90394733912,81796.28303120406,81556.90394733912,65841.3542305047,65487.84227291863,65035.99031405481,67472.952025618,65766.24205971713,65487.84227291863,65841.35423050472,65487.84227291863,68366.16686857822,68496.41384764816,54512.79949956112,82407.19065886133,68342.70981591997,68496.41384764816,68366.16686857822,68496.41384764816,40428.35978295747,40244.70096383197,40047.2006053848,41135.0130613214,40387.67302035856,40244.70096383197,40428.35978295747,40244.70096383197
2016-12,90485.32518484985,90485.32518484985,83255.83430427437,97714.81606542532,,,90485.32518484985,90485.32518484985,74038.80760130356,78292.8429799988,65453.2130108572,78370.36681305467,78292.8429799988,78292.8429799988,74038.80760130356,78292.8429799988,82327.6634377806,82327.6634377806,82327.6634377806,82327.6634377806,,,,,52283.820145796926,52283.820145796926,52283.820145796926,52283.820145796926,,,,
2017-01,99492.8440709398,99661.09106664879,98513.34619450707,99992.1056928066,99486.5022818395,99566.6779602189,99492.8440709398,99661.09106664879,77645.08117637488,77658.93304991236,76553.767644759,78757.05889860945,77642.78515519502,77658.93304991236,77645.0811763749,77658.93304991236,82821.29726581095,82806.78912841552,64767.92533171763,99992.1056928066,82919.35987771068,82806.78912841552,82821.29726581094,82806.78912841552,48355.62911898148,48394.63486406009,44589.33378628579,51953.66658714588,48367.647537876575,48394.63486406009,48355.62911898148,48394.63486406009
2017-02,99572.90475947385,99573.12383495507,99037.81289657066,99992.1056928066,99601.87749186644,99573.12383495507,99572.90475947382,99573.12383495507,78369.51490591773,78750.78189489082,76916.06372184242,79337.86636034002,78423.41487587919,78750.78189489082,78369.51490591772,78750.78189489082,79197.27748737506,71950.90880663478,59388.34852708723,99992.1056928066,76777.19665953337,64285.61144304277,79197.27748737506,71950.90880663478,44470.07565450726,44430.18214336553,44361.17336677821,44757.483638842765,44477.93543027759,44460.71843282529,44434.14965646532,44398.25971610064
2017-03,98309.7604204701,98460.88544087694,97318.1453157938,98799.23969751166,98313.97927066784,98370.3994430048,98309.7604204701,98460.88544087694,76399.26180434144,76204.49873468446,74798.97304011026,78561.18366370065,76348.2042502389,76204.49873468446,76399.26180434145,76204.49873468446,81128.26169555182,88272.59923180644,59525.427211236936,98799.23969751166,81619.7437558462,88272.59923180644,81128.26169555182,88272.59923180644,44739.445012862794,44723.777518757066,44279.84159437174,45147.39634042412,44745.1841340772,44723.777518757066,44739.445012862794,44723.777518757066
2017-04,94309.39770050376,93897.38668437861,92806.2043895993,96681.22479109306,94164.62540388961,93897.38668437861,94309.39770050376,93897.38668437861,78992.33714966754,79201.40887661095,76118.37884519945,81392.07555653891,79031.85547446727,79201.40887661095,78992.33714966754,79201.40887661095,82523.61892688941,85834.59531459895,60460.33152980135,95667.9664598624,83638.4864099038,85834.59531459895,82523.61892688941,85834.59531459895,42494.95048385433,42353.00482173734,41558.79440175512,43892.3648322091,42448.824657228775,42353.00482173734,42494.95048385433,42353.00482173734
2017-05,97204.76472562978,97421.11799840195,93973.55453472752,99338.43922568792,97341.9566869853,97421.11799840195,97204.76472562978,97421.11799840195,75795.15594077959,75923.75632270015,71901.66068022768,80207.04675761516,75760.59623702733,75923.75632270015,75795.1559407796,75923.75632270015,85518.23350031977,96196.62298050449,57212.53595867475,99317.35321061958,86634.12410273094,96196.62298050449,85518.23350031977,96196.62298050449,43581.755233756914,43690.36860420742,41997.62276866281,45126.43932733988,43586.686280195805,43690.36860420742,43581.755233756914,43690.36860420742
2017-06,93340.22163647889,93022.1018956232,90321.37065952252,97172.60424938216,93258.86847288422,93022.1018956232,93340.22163647889,93022.1018956232,73557.82900500804,73850.28816819776,72264.28560632284,74478.57931688227,73599.25045909814,73850.28816819776,73557.82900500804,73850.28816819776,80328.26338729207,90745.88808533725,53667.59810857316,97823.25842863396,80982.95411853328,90745.88808533725,80328.26338729207,90745.88808533725,44628.396824915115,44604.30364893579,43900.29332314152,45258.16699428247,44639.32275073803,44604.30364893579,44628.396824915115,44604.30364893579
2017-07,93188.10167450337,93290.72364417012,91910.6850345997,94136.21807954049,93270.42673322003,93290.72364417012,93188.10167450337,93290.72364417012,71482.29306624453,71393.28269115576,69906.8149553012,73799.48136162804,71408.12204780053,71393.28269115576,71482.29306624453,71393.28269115576,75076.21233744973,82575.54009428312,52268.71859847265,94085.186379207,75551.0272996022,82575.54009428312,75076.21233744972,82575.54009428312,42710.91889921733,42572.34787373053,42203.17033892643,43689.26815346572,42652.09381247264,42572.34787373053,42602.21342652306,42515.48560474991
2017-08,90441.60450471964,90229.82840486588,89414.0460816373,92255.16016388305,90284.40505750343,90229.82840486588,90441.60450471965,90229.82840486588,70273.51203242285,70314.48889703947,69920.14536930376,70589.43766828423,70277.6721465626,70314.48889703947,70273.51203242288,70314.48889703947,76657.57667676131,89709.95201874494,51330.297751214326,92598.30820130894,77439.78896017792,89709.95201874494,76657.57667676131,89709.95201874494,42280.53343303843,42295.83926748653,41872.70650578011,42515.48560474991,42272.77375601785,42256.13183651367,42280.53343303842,42295.83926748653
2017-09,95936.23552095877,95952.62766328506,91061.1024942671,101408.63406221935,95881.93865599796,95952.62766328506,95936.23552095877,95952.62766328506,69452.12704025334,69657.78667333708,67651.88552546846,70491.72194321282,69421.13278568289,69531.85078264854,69452.12704025336,69657.78667333708,85748.25606341012,94323.4102541268,52775.063565109565,100495.00715218663,87267.12618087047,94323.4102541268,88284.65548635634,94345.3569228714,41115.451563705035,41210.32521222294,40056.01154739549,41937.11509740423,41145.17362403133,41210.32521222294,41115.451563705035,41210.32521222294
2017-10,101324.20981706277,102209.9026348165,94710.05891818614,105631.1085796555,101501.69075062306,102209.9026348165,101324.20981706279,102209.9026348165,65495.16257313497,65247.39172135309,64567.60037798673,67528.89845422284,65384.54520454102,65247.39172135309,65310.277493036076,65208.404836785325,91852.01495600707,97020.10717612001,51303.14311663991,105138.94708509324,93366.5671621338,97020.10717612001,93986.16610544745,97172.60424938214,39346.02435226667,39195.81218711968,39069.18604219696,40000.00713413124,39304.119410956126,39195.81218711968,39280.62607408022,39194.45832357252
2017-11,88983.7304998867,88470.10460188943,86504.58676873296,92772.18325604366,88721.86869488607,88470.10460188943,88983.73049988672,88470.10460188943,68753.66257965837,68931.03472907383,66851.17416795788,70174.91787317795,68833.8680993552,68931.03472907383,68753.66257965837,68931.03472907383,73508.60570764935,86582.69915848169,49974.78143557068,91866.72496193236,74026.1762094289,86582.69915848169,73508.60570764933,86582.69915848169,41315.20361426909,41391.33137435999,40287.19094896302,42247.42062241273,41334.36274570158,41391.33137435999,41315.20361426909,41391.33137435999
2017-12,111731.95102638283,110888.47776521246,104330.4026787253,117767.6163954216,111837.01894781506,110888.47776521246,111731.95102638283,110888.47776521246,86021.29016631212,86057.26202049735,80824.91799568082,90372.63017994676,86105.79338201178,86057.26202049735,86021.29016631212,86057.26202049735,111592.83484579339,111432.67818777874,103601.6872110368,117747.94792758474,111745.83772520717,111432.67818777874,111592.83484579336,111432.67818777874,53284.679561449375,53416.11069469902,50794.12926997601,55382.8608274374,53350.074399030265,53416.11069469902,53284.679561449375,53416.11069469902
2018-01,94697.3297170525,93693.88738750527,87050.18740862641,105305.7814900296,94512.24787551808,93693.88738750527,94697.3297170525,93693.88738750527,82499.84783260428,82990.75901204579,75879.62728524013,90298.13455376556,82437.84434977287,82990.75901204579,82499.84783260431,82990.75901204579,89541.34380338984,93131.83523934624,65480.90408184641,103763.60595939914,90059.14262262847,93131.83523934624,89541.34380338983,93131.83523934624,50826.680868613585,50502.19638177955,46500.44544098488,55316.91286936888,50814.065747603854,50502.19638177955,50826.6808686136,50502.19638177955
