Date,4YO,5YO,Source_File,3YO,2YO,Quarter,Month,2YO_no_outliers,3YO_no_outliers,4YO_no_outliers,5YO_no_outliers
2016-09-01,60000.0,43000.0,10_2019.csv,,,2016Q3,2016-09,,,60000.0,43000.0
2016-09-01,57000.0,48000.0,09_2018.csv,,,2016Q3,2016-09,,,57000.0,48000.0
2016-09-01,62000.0,43000.0,07_2020.csv,,,2016Q3,2016-09,,,62000.0,43000.0
2016-09-01,59400.0,46600.0,02_2018.csv,,,2016Q3,2016-09,,,59400.0,46600.0
2016-09-01,61000.0,50000.0,09_2019.csv,71000.0,89000.0,2016Q3,2016-09,89000.0,71000.0,61000.0,50000.0
2016-09-01,59000.0,47000.0,03_2018.csv,,,2016Q3,2016-09,,,59000.0,47000.0
2016-09-01,57000.0,48000.0,11_2018.csv,,,2016Q3,2016-09,,,57000.0,48000.0
2016-09-01,64000.0,44000.0,06_2018.csv,,,2016Q3,2016-09,,,64000.0,44000.0
2016-09-01,60000.0,51000.0,08_2019.csv,,,2016Q3,2016-09,,,60000.0,51000.0
2016-09-01,58000.0,50000.0,11_2019.csv,,,2016Q3,2016-09,,,58000.0,50000.0
2016-09-01,58000.0,48000.0,06_2020.csv,,,2016Q3,2016-09,,,58000.0,48000.0
2016-09-01,59000.0,44000.0,07_2019.csv,,,2016Q3,2016-09,,,59000.0,44000.0
2016-09-01,58000.0,47000.0,06_2019.csv,,,2016Q3,2016-09,,,58000.0,47000.0
2016-09-01,62000.0,43000.0,08_2018.csv,,,2016Q3,2016-09,,,62000.0,43000.0
2016-09-01,59000.0,51000.0,04_2018.csv,,,2016Q3,2016-09,,,59000.0,51000.0
2016-09-01,58000.0,42000.0,03_2019.csv,,,2016Q3,2016-09,,,58000.0,42000.0
2016-09-01,57000.0,46000.0,12_2018.csv,,,2016Q3,2016-09,,,57000.0,46000.0
2016-09-01,59000.0,42000.0,03_2020.csv,,,2016Q3,2016-09,,,59000.0,42000.0
2016-09-01,56000.0,42000.0,10_2020.csv,,,2016Q3,2016-09,,,56000.0,42000.0
2016-09-01,58000.0,50000.0,01_2019.csv,,,2016Q3,2016-09,,,58000.0,50000.0
