Date,2YO,3YO,4YO,5YO
2016-01-20,97576.25082354764,88192.91098404072,95383.30525643974,
2016-01-21,95871.29589087858,88354.80748313773,98777.55122486992,
2016-01-22,99381.403963158,86225.80580048035,97240.38072638756,
2016-01-23,97958.81138264477,88822.54228231749,84900.51975442085,
2016-01-24,101296.12511039042,84985.42845600416,,
2016-01-25,,,100803.56288613004,56774.87364647511
2016-01-26,99753.53249374764,84851.81922514361,,
2016-01-27,103166.50941582296,83027.27163019306,100794.57918055049,
2016-01-28,101537.40936852962,85786.15611247577,104141.45295873692,
2016-01-29,104950.33152173464,81624.89050038527,102475.4358102843,
2016-01-30,103258.93188446669,84701.73248038946,105996.38811888456,56669.38159095799
2016-01-31,105686.92450189524,80338.02208525088,104393.05826635697,56279.40397057208
2016-02-01,,82966.65466905134,107685.4889048857,
2016-02-02,108364.99763107311,79055.42693399073,87334.59045576461,
2016-02-03,106742.64280254398,,109163.23126702238,
2016-02-04,,79270.57745635712,67939.88256589907,56360.73794182573
2016-02-05,109126.0026164387,78493.26025740613,108104.94999035244,55733.52618835817
2016-02-06,,,110283.96372607588,
2016-02-07,111019.3385015844,78802.46792183985,,
2016-02-08,,,111669.9926808362,
2016-02-09,110619.4572872526,,89025.55720764966,55902.15187125688
2016-02-10,112173.79782657632,76233.78853115349,,55295.95748991685
2016-02-12,,,112601.54270367704,
2016-02-13,,,111974.9868273605,
2016-02-14,,75979.86812518089,67028.53898958389,55507.49912800835
2016-02-15,112679.8621882166,,,54600.07162667789
2016-02-16,,75832.13340951473,,
2016-02-17,,,112781.07506054464,
2016-02-18,,75617.5991316048,,
2016-02-19,,,66613.48310784102,54867.17279287166
2016-02-20,111763.14189025902,,111612.56103453164,54109.65446647814
2016-02-22,,76792.98970984021,88227.2978124191,
2016-02-23,110150.60354043878,75851.63072741829,111595.43855613028,54409.21444197808
2016-02-24,111107.44792169143,,,53283.95698077642
2016-02-25,,,109010.89556632451,
2016-02-26,108858.69575831245,,88246.98430384461,
2016-02-28,107380.64537275476,77248.51115791776,107528.84993580656,53681.50910992015
2016-02-29,,,108884.37947591448,52788.98901873747
2016-03-01,107227.24461313256,,106169.70565025836,
2016-03-02,,,86076.90381404874,
2016-03-03,104922.36027725622,,104947.08751941644,52547.664251353395
2016-03-04,106444.42630372025,78056.2558287315,106119.09921409434,
2016-03-05,103510.77500428673,,103425.16261227988,
2016-03-06,105143.11794521664,,,
2016-03-07,,,104691.27476518069,52360.22452661497
2016-03-08,103194.3448887321,,83214.81397126647,51540.34001010192
2016-03-09,100830.72663495336,78276.52246027798,102038.05161200947,50638.66688769501
2016-03-10,102377.83768339652,,,
2016-03-11,,78732.10912752611,101980.21568496487,
2016-03-12,,,,51901.79055132132
2016-03-13,101130.75050649724,,100968.08696168433,
2016-03-14,99504.11505836777,,82057.4830674751,50335.67393598597
2016-03-15,,78786.69448719133,,
2016-03-16,,78223.28038114855,,
2016-03-18,99100.46848420233,,99100.46848420233,49629.55107296877
2016-03-19,,,97985.92197344692,49616.109550596506
2016-03-20,97877.47961023828,78547.62836829957,64926.6042933697,
2016-03-22,,77614.59147388667,,47462.503006063474
2016-03-23,,,,48658.91544552031
2016-03-24,97465.39863004549,,97031.62917721093,
2016-03-25,96483.22065469871,78025.74949535803,65161.43807954939,
2016-03-26,,,,46942.090780361876
2016-03-27,,77152.7305952278,,
2016-03-28,,,96544.54222913216,
2016-03-29,,,95591.1531192563,
2016-03-30,96273.43632111058,77514.41362995064,,46238.93249775958
2016-03-31,95378.78682463938,,65320.94782110541,46121.276338856784
2016-04-03,,77053.09546945777,95480.12879501889,
2016-04-04,95224.51465316994,,,
2016-04-05,,,94631.95459706565,45021.797995105
2016-04-06,94411.19692910524,,,
2016-04-07,,,65130.422296469056,
2016-04-08,,76893.88232936792,,
2016-04-09,,77192.18604717351,94353.10280595772,44716.99987105653
2016-04-10,,,,45196.135428121794
2016-04-11,94084.8506443364,,,
2016-04-13,,77009.71849006804,79105.69276578492,44374.72866217929
2016-04-14,,78108.94507767732,,
2016-04-15,93354.29156587824,,,46420.70500652576
2016-04-17,,,93152.49092757644,45290.67933713793
2016-04-18,,77662.83726848368,64508.99892832375,
2016-04-19,92951.9133234462,,,47671.384810482064
2016-04-20,,79242.82513932956,,
2016-04-22,,,92571.54969610162,46388.01277436814
2016-04-23,,78623.79621864848,,48845.06846042072
2016-04-24,92349.77283299826,,63876.49849479261,
2016-04-25,,80253.46493637483,,46530.02063095087
2016-04-26,,,63124.62137968031,47828.31670158755
2016-04-27,,,92181.54448270486,
2016-04-28,92169.79656002393,79635.92494192904,,49936.65301050575
2016-04-30,,,,49056.72769371202
2016-05-01,,80949.30244734426,62861.61776414249,
2016-05-02,,80361.18420564392,,
